vous	v u
conclut	k ɔ̃ k l y
concorde	k ɔ̃ k ɔ ʁ d
concourir	k ɔ̃ k u ʁ i ʁ
condamnation	k ɔ̃ d ɑ n a s j ɔ̃
confesseurs	k ɔ̃ f ɛ s œ ʁ
continuation	k ɔ̃ t i n ɥ a s j ɔ̃
continuellement	k ɔ̃ t i n ɥ ɛ l m ɑ̃
continuer	k ɔ̃ t i n ɥ e
condense	k ɔ̃ d ɑ̃ s
condottiere	k ɔ̃ d ɔ t j e ʁ e
conduirez	k ɔ̃ d ɥ i ʁ e
conduisezmoi	k ɔ̃ d ɥ i z e m w a
continué	k ɔ̃ t i n ɥ e
conduits	k ɔ̃ d ɥ i
contracta	k ɔ̃ t ʁ a k t a
confesser	k ɔ̃ f e s e
confesser	k ɔ̃ f ɛ s e
confia	k ɔ̃ f j a
confiait	k ɔ̃ f j ɛ
confiante	k ɔ̃ f j ɑ̃ t
confidences	k ɔ̃ f i d ɑ̃ s
confier	k ɔ̃ f j e
confirmant	k ɔ̃ f i ʁ m ɑ̃
confond	k ɔ̃ f ɔ̃
confondre	k ɔ̃ f ɔ̃ d ʁ
confondu	k ɔ̃ f ɔ̃ d y
conformait	k ɔ̃ f ɔ ʁ m ɛ
confortable	k ɔ̃ f ɔ ʁ t a b l
contracté	k ɔ̃ t ʁ a k t e
confidence	k ɔ̃ f i d ɑ̃ s
confronte	k ɔ̃ f ʁ ɔ̃ t
confident	k ɔ̃ f i d ɑ̃
confident	k ɔ̃ f i d ɑ̃ s
contradictions	k ɔ̃ t ʁ a d i k s j ɔ̃
confierai	k ɔ̃ f i ʁ e
contraignent	k ɔ̃ t ʁ ɛ ɲ
confus	k ɔ̃ f y
confirme	k ɔ̃ f i ʁ m
contraint	k ɔ̃ t ʁ ɛ̃
confuses	k ɔ̃ f y z
confiée	k ɔ̃ f j e
contraire	k ɔ̃ t ʁ ɛ ʁ
contraires	k ɔ̃ t ʁ ɛ ʁ
contrarier	k ɔ̃ t ʁ a ʁ j e
conférant	k ɔ̃ f e ʁ ɑ̃
congrès	k ɔ̃ ɡ ʁ ɛ
congrès	k ɔ̃ ɡ ʁ ɛ s
confondant	k ɔ̃ f ɔ̃ d ɑ̃
congé	k ɔ̃ ʒ e
contrastait	k ɔ̃ t ʁ a t ɛ
contrastait	k ɔ̃ t ʁ s t ɛ
contrastait	k ɔ̃ t ʁ t ɛ
congédia	k ɔ̃ ʒ e d j a
contre	k ɔ̃ t ʁ
contre	k ɔ̃ t ʁ ə
contrebutée	k ɔ̃ t ʁ ə b y t e
contrevoie	k ɔ̃ t ʁ ə v w a
controverse	k ɔ̃ t ʁ ɔ v ɛ ʁ s
convaincre	k ɔ̃ v ɛ̃ k ʁ
conjecture	k ɔ̃ ʒ ɛ k t y ʁ
conjonctures	k ɔ̃ ʒ ɔ̃ k t y ʁ
convaincu	k ɔ̃ v ɛ̃ k y
conjuré	k ɔ̃ ʒ y ʁ e
convalescence	k ɔ̃ v a l ɛ s ɑ̃ s
confrontation	k ɔ̃ f ʁ ɔ̃ t a s j ɔ̃
confrérie	k ɔ̃ f ʁ e ʁ i
convenable	k ɔ̃ v n a b l
connaissait	k ɔ n
connaissait	k ɔ n e s ɛ
connaissait	k ɔ n i s ɛ
connaissait	k ɔ n s ɛ
connaissait	k ɔ n ɛ
connaissait	k ɔ n ɛ i
connaissait	k ɔ n ɛ i s ɛ
convenablement	k ɔ̃ v n a b l ə m ɑ̃
connaissance	k ɔ n ɛ s ɑ̃ s
convenir	k ɔ̃ v ɲ i ʁ
confèrent	k ɔ̃ f ɛ ʁ
connaisseur	k ɔ n ɛ s œ ʁ
convenu	k ɔ̃ v n y
conférences	k ɔ̃ f e ʁ ɑ̃ s
connaissons	k ɔ n e s ɔ̃
connaissons	k ɔ n ɔ̃
connaissons	k ɔ n ɛ s ɔ̃
connaissons	k ɔ n ɛ ɛ s ɔ̃
congédier	k ɔ̃ ʒ e d j e
connaissaient	k ɔ n
connaissaient	k ɔ n a s ɛ
connaissaient	k ɔ n i s ɛ
connaissaient	k ɔ n s ɛ
connaissaient	k ɔ n ɛ
connaîtrais	k ɔ n ɛ t ʁ ɛ
conquis	k ɔ̃ c i
conquérant	k ɔ̃ c e ʁ ɑ̃
connaisseurs	k ɔ n ɛ s œ ʁ
conquérir	k ɔ̃ c e ʁ i ʁ
consacrer	k ɔ̃ s a k ʁ e
consacrer	k ɔ̃ s ɑ̃ s a k ʁ e
converge	k ɔ̃ v ɛ ʁ ʒ
conversations	k ɔ̃ v ɛ ʁ a s j ɔ̃
conversations	k ɔ̃ v ɛ ʁ s a s j ɔ̃
conversations	k ɔ̃ v ɛ ʁ z a s j ɔ̃
consciences	k ɔ̃ s j ɑ̃ s
conseil	k ɔ̃ s ɛ j
conseillait	k ɔ̃ s ɛ j ɛ
conseiller	k ɔ̃ s ɛ j e
consentait	k ɔ̃ s ɑ̃ t ɛ
consentent	k ɔ̃ s ɑ̃ t
consentent	k ɔ̃ s ɛ ɑ̃ t
consentie	k ɔ̃ s ɑ̃ t i
consentiriez	k ɔ̃ s ɑ̃ t i ʁ j e
conservateur	k ɔ̃ s ɛ ʁ v a t œ ʁ
considérable	k ɔ̃ s i d e ʁ a b l
considérait	k ɔ̃ s i d e ʁ ɛ
considérez	k ɔ̃ s i d e ʁ e
considérée	k ɔ̃ s i d e ʁ e
conviction	k ɔ̃ v i k s j ɔ̃
convient	k ɔ̃ v i
convient	k ɔ̃ v j ɛ̃
consignée	k ɔ̃ s i ɲ e
convier	k ɔ̃ v j e
consiste	k ɔ̃ s i s t
connexe	k ɔ n ɛ k s
convives	k ɔ̃ v i v
consolider	k ɔ̃ s ɔ ʎ i d e
convoité	k ɔ̃ v w a t e
consommé	k ɔ̃ s ɔ m e
convoqué	k ɔ̃ v ɔ c e
constantine	k ɔ̃ s t ɑ̃ t i n
connues	k ɔ n y
convulsion	k ɔ̃ v y l s j ɔ̃
constataitc'est	k ɔ̃ s t a t e k ɛ
constataitc'est	k ɔ̃ s t a t e t ɛ
constataitc'est	k ɔ̃ s t a t e ɛ
constataitc'est	k ɔ̃ s t a t k ɛ
constataitc'est	k ɔ̃ s t a t ɛ
constataitc'est	k ɔ̃ s t e t ɛ
conque	k ɔ̃ k
convulsions	k ɔ̃ v y l s j ɔ̃
conquise	k ɔ̃ c i z
conçu	k ɔ̃ s y
constatent	k ɔ̃ s t a t
conçut	k ɔ̃ s y
constaterez	k ɔ̃ s t a t ʁ e
cook	k u k
constatés	k ɔ̃ s t a t e
consacrée	k ɔ̃ s a k ʁ e
consacrée	k ɔ̃ s ɑ̃ s a k ʁ e
coordonne	k ɔ ɔ ʁ d ɔ n
constituait	k ɔ̃ s t i t ɥ ɛ
constituante	k ɔ̃ s t i t ɥ ɑ̃ t
copia	k ɔ p j a
copie	k ɔ p i
copier	k ɔ p j e
coquet	k ɔ c ɛ
constructions	k ɔ̃ s t ʁ y k s j ɔ̃
coquillage	k ɔ c i j a ʒ
consciencefaire	k ɔ̃ s j ɑ̃ f ɛ ʁ
consciencefaire	k ɔ̃ s j ɑ̃ s f ɛ ʁ
consciencefaire	k ɔ̃ s j ɑ̃ s ə f ɛ ʁ
construit	k ɔ̃ s t ʁ ɥ i
coquin	k ɔ c ɛ̃
construite	k ɔ̃ s t ʁ ɥ i t
corbeille	k ɔ ʁ b ɛ j
corde	k ɔ ʁ d
conseillant	k ɔ̃ s ɛ j ɑ̃
conseillé	k ɔ̃ s ɛ j e
consulta	k ɔ̃ s y l t a
conseils	k ɔ̃ s ɛ j
consultèrent	k ɔ̃ s y l t ɛ ʁ
cordelière	k ɔ ʁ d ə ʎ ɛ ʁ
consentais	k ɔ̃ s ɑ̃ t ɛ
cordialité	k ɔ ʁ d j a ʎ i t e
conséquents	k ɔ̃ s e k ɑ̃
corinthe	k ɔ ʁ ɛ̃ t
consentirait	k ɔ̃ s ɑ̃ t i ʁ ɛ
contempla	k ɔ̃ t ɑ̃ p l a
conserne	k ɔ̃ s ɛ ʁ n
contemplait	k ɔ̃ t ɑ̃ p l ɛ
corneilles	k ɔ ʁ n ɛ j
conservation	k ɔ̃ s ɛ ʁ v a s j ɔ̃
contemplationslà	k ɔ̃ t ɑ̃ p l a s j ɔ̃ s l a
corniche	k ɔ ʁ ɲ i ʃ
considère	k ɔ̃ s i d ɛ ʁ
contemporain	k ɔ̃ t ɑ̃ p ɔ ʁ ɛ̃
corps	k ɔ ʁ
considérables	k ɔ̃ s i d e ʁ a b l
correct	k ɔ ʁ ɛ k t
considérant	k ɔ̃ s i d e ʁ ɑ̃
contenant	k ɔ̃ t n ɑ̃
correcte	k ɔ ʁ ɛ k t
considérer	k ɔ̃ s i d e ʁ e
contenir	k ɔ̃ t ɲ i ʁ
correctement	k ɔ ʁ ɛ k t ə m ɑ̃
correspondance	k ɔ ʁ ɛ s p ɔ̃ d ɑ̃ s
considéré	k ɔ̃ s i d e ʁ e
contenta	k ɔ̃ t ɑ̃ t a
correspondant	k ɔ ʁ ɛ s p ɔ̃ d ɑ̃
consignations	k ɔ̃ s i ɲ a s j ɔ̃
correspondu	k ɔ ʁ ɛ s p ɔ̃ d y
consistaient	k ɔ̃ s i s t ɛ
contentezvousen	k ɔ̃ t ɑ̃ t e v u s ɛ n
contentezvousen	k ɔ̃ t ɑ̃ t e z v u s ɛ n
corridor	k ɔ ʁ i d ɔ ʁ
consolé	k ɔ̃ s ɔ l e
contes	k ɔ̃ t
contes	k ɔ̃ t ɛ s
corriger	k ɔ ʁ i ʒ e
consommer	k ɔ̃ s ɔ m e
constantinople	k ɔ̃ s t ɑ̃ t i n ɔ p l
constatant	k ɔ̃ s t a t ɑ̃
constatons	k ɔ̃ s t a t ɔ̃
constitué	k ɔ̃ s t i t ɥ e
constructeur	k ɔ̃ s t ʁ y k t œ ʁ
corrigée	k ɔ ʁ i ʒ e
contiennent	k ɔ̃ t j ɛ n
corsage	k ɔ ʁ s a ʒ
contiguë	k ɔ̃ t i ɡ y
construisaient	k ɔ̃ s t ʁ ɥ i z ɛ
construits	k ɔ̃ s t ʁ ɥ i
consultez	k ɔ̃ s y l t e
continents	k ɔ̃ t i n ɑ̃
consultée	k ɔ̃ s y l t e
continua	k ɔ̃ t i n ɥ a
conséquence	k ɔ̃ s e k ɑ̃ s
cosettelà	k e t l a
cosettelà	k o z ɛ t a
cosettelà	k o z ɛ t l a
cosettelà	k o z ɛ t ə l a
cosettenous	k o z ɛ t n u
cosettenous	k o z ɛ t ə n u
continuaient	k ɔ̃ t i n ɥ ɛ
costume	k ɔ s t y m
continuant	k ɔ̃ t i n ɥ ɑ̃
conte	k ɔ̃ t
conte	k ɔ̃ t ɛ s
contemplateurs	k ɔ̃ t ɑ̃ p l a t œ ʁ
contemplé	k ɔ̃ t ɑ̃ p l e
continue	k ɔ̃ t i n y
contemporaines	k ɔ̃ t ɑ̃ p ɔ ʁ ɛ n
costumier	k ɔ s t y mʲ e
cou	k u
continuelles	k ɔ̃ t i n ɥ ɛ l
continueraitil	k ɔ̃ t i n y ʁ e t i
coucha	k u ʃ a
continuons	k ɔ̃ t i n ɥ ɔ̃
contentement	k ɔ̃ t ɑ̃ t m ɑ̃
couche	k u ʃ
coucher	k u ʃ e
couches	k u ʃ
couchezvous	k u ʃ e v u
couchés	k u ʃ e
contenté	k ɔ̃ t ɑ̃ t e
contradictoirement	k ɔ̃ t ʁ a d i k t w a ʁ m ɑ̃
coude	k u d
conter	k ɔ̃ t e
conter	k ɔ̃ t ɛ s e
contraindre	k ɔ̃ t ʁ ɛ̃ d ʁ
coudes	k u d
coula	k u l a
coulaient	k u l ɛ
coulants	k u l ɑ̃
contezvous	k ɔ̃ t e v u
contrairement	k ɔ̃ t ʁ ɛ ʁ m ɑ̃
couler	k u l e
contient	k ɔ̃ t j ɛ̃
contrariété	k ɔ̃ t ʁ a ʁ j e t e
couleur	k u l œ ʁ
contrat	k ɔ̃ t ʁ a
contint	k ɔ̃ t ɛ̃
contravention	k ɔ̃ t ʁ a v ɑ̃ s j ɔ̃
couloir	k u l w a ʁ
contrecoup	k ɔ̃ t ʁ ə k u
couloirs	k u l w a ʁ
coup	k u
coupable	k u p a b l
coupables	k u p a b l
contresens	k ɔ̃ t ʁ ɑ̃ s
contresens	k ɔ̃ t ʁ ə s ɑ̃
contresens	k ɔ̃ t ʁ ə s ɑ̃ s
contresens	k ɔ̃ t ʁ ə s ɛ n z
contresens	k ɔ̃ t ʁ ə s ɛ̃
contresens	k ɔ̃ t ʁ ə z ɑ̃
contresens	k ɔ̃ t ʁ ə ɛ n z
contresens	k ɔ̃ t ʁ ə ɛ̃
contresens	k ɔ̃ t ʁ ɛ s ɛ̃
coupegorge	k u p e ɡ ɔ ʁ ʒ
coupegorge	k u p ə ɡ ɔ ʁ ʒ
coupegorge	k u p ɛ ɡ ɔ ʁ ʒ
coupegorge	k u p ɡ ɔ ʁ ʒ
contumace	k ɔ̃ t y m a s
couper	k u p e
contînt	k ɔ̃ t ɛ̃
couple	k u p l
coups	k u
coups	k u p s
convainquit	k ɔ̃ v ɛ̃ c i
coupure	k u p y ʁ
coupures	k u p y ʁ
continuetil	k ɔ̃ t i n y t i
continuetil	k ɔ̃ t i n ɥ e t i
continuent	k ɔ̃ t i n ɥ
continuerait	k ɔ̃ t i n y ʁ ɛ
continuerait	k ɔ̃ t i n ɥ ʁ ɛ
coupées	k u p e
continuité	k ɔ̃ t i n ɥ i t e
courage	k u ʁ a ʒ
convenait	k ɔ̃ v n ɛ
continuée	k ɔ̃ t i n ɥ e
courages	k u ʁ a ʒ
contraction	k ɔ̃ t ʁ a k s j ɔ̃
courageux	k u ʁ a ʒ ø
convenonsen	k ɔ̃ v n ɔ̃ n
contractées	k ɔ̃ t ʁ a k t e
contradictoires	k ɔ̃ t ʁ a d i k t w a ʁ
courait	k u ʁ ɛ
contraignît	k ɔ̃ t ʁ ɛ ɲ i
convenues	k ɔ̃ v n y
courant	k u ʁ ɑ̃
contrainte	k ɔ̃ t ʁ ɛ̃ t
conversation	k ɔ̃ v ɛ ʁ a s j ɔ̃
conversation	k ɔ̃ v ɛ ʁ s a s j ɔ̃
conversation	k ɔ̃ v ɛ ʁ s j ɔ̃
conversation	k ɔ̃ v ɛ ʁ z a s j ɔ̃
courants	k u ʁ ɑ̃
converser	k ɔ̃ v ɛ ʁ s e
courbaturé	k u ʁ b a t y ʁ e
contrarié	k ɔ̃ t ʁ a ʁ j e
courbé	k u ʁ b e
convions	k ɔ̃ v j ɔ̃
courfeyrac	k u ʁ f ɛ ʁ a k
contreallées	k ɔ̃ t ʁ a l e
contreallées	k ɔ̃ t ʁ ə s a l e
contreallées	k ɔ̃ t ʁ ɛ l e
contreallées	k ɔ̃ t ʁ ɛ l s a l e
contrecoups	k ɔ̃ t ʁ ə k u
contrecoups	k ɔ̃ t ʁ ə k u p s
contumaces	k ɔ̃ t y m a s
convoi	k ɔ̃ v w a
courfeyracces	k u ʁ f ɛ ʁ a k s
courfeyracces	k u ʁ f ɛ ʁ a k s e
courfeyracces	k u ʁ f ɛ ʁ a k s e s
convoitait	k ɔ̃ v w a t ɛ
convalescent	k ɔ̃ v a l ɛ s ɑ̃
couronnait	k u ʁ ɔ n ɛ
convention	k ɔ̃ v ɑ̃ s j ɔ̃
convulsifs	k ɔ̃ v y l s i f
couronnes	k u ʁ ɔ n
cours	k u ʁ
course	k u ʁ s
courses	k u ʁ s
courte	k u ʁ t
courtière	k u ʁ t j ɛ ʁ
convulsèrent	k ɔ̃ v y l s ɛ ʁ
courtoises	k u ʁ t w a z
coordonné	k ɔ ɔ ʁ d ɔ n e
courut	k u ʁ y
cousait	k u z ɛ
conviendrez	k ɔ̃ v j ɛ̃ d ʁ e
copiant	k ɔ p j ɑ̃
cousine	k u z i n
cousins	k u z ɛ̃
coute	k u t
couteau	k u t o
coutez	k u t e
coutezmoi	k u t e m w a
coutume	k u t y m
copions	k ɔ p j ɔ̃
couturière	k u t y ʁ j ɛ ʁ
couvent	k u v
couvent	k u v ɑ̃
coquette	k ɔ c ɛ t
convois	k ɔ̃ v w a
coquinerie	k ɔ c i n ʁ i
convoquerais	k ɔ̃ v ɔ k ʁ ɛ
couvercle	k u v ɛ ʁ k l
couverte	k u v ɛ ʁ t
couverture	k u v ɛ ʁ t y ʁ
corday	k ɔ ʁ d ɛ
couvertures	k u v ɛ ʁ t y ʁ
couvrait	k u v ʁ ɛ
couvre	k u v ʁ
couvrit	k u v ʁ i
coïncidences	k ɔ ɛ̃ s i d ɑ̃ s
coûté	k u t e
crachat	k ʁ a ʃ a
craie	k ʁ ɛ
craignant	k ʁ ɛ ɲ ɑ̃
convulsivement	k ɔ̃ v y l s i v m ɑ̃
craignez	k ʁ ɛ ɲ e
copeaux	k ɔ p o
cordeau	k ɔ ʁ d o
craignit	k ʁ ɛ ɲ i t
cordes	k ɔ ʁ d
coq	k ɔ k
crains	k ʁ ɛ̃
cordiales	k ɔ ʁ d j a l
coque	k ɔ k
coquillages	k ɔ c i j a ʒ
coreligionnaires	k ɔ ʁ ə ʎ i ʒ j ɔ n ɛ ʁ
crainte	k ʁ ɛ̃ t
cramponna	k ʁ ɑ̃ p ɔ n a
corbeaux	k ɔ ʁ b o
cramponnant	k ʁ ɑ̃ p ɔ n ɑ̃
cornes	k ɔ ʁ n
corcelles	k ɔ ʁ s ɛ l
cramponné	k ʁ ɑ̃ p ɔ n e
cornée	k ɔ ʁ n e
craquement	k ʁ a k m ɑ̃
cravate	k ʁ a v a t
cordial	k ɔ ʁ d j a l
crayon	k ʁ ɛ j ɔ̃
cordon	k ɔ ʁ d ɔ̃
cordons	k ɔ ʁ d ɔ̃
creil	k ʁ ɛ j
corne	k ɔ ʁ n
creusaient	k ʁ
creusaient	k ʁ s ɛ
creusaient	k ʁ z ɛ
creusaient	k ʁ ɛ
corneille	k ɔ ʁ n ɛ j
creuser	k ʁ ø z e
creuset	k ʁ
creuset	k ʁ s ɛ
creuset	k ʁ z ɛ
creuset	k ʁ ø z ɛ
creuset	k ʁ ɛ
crevasse	k ʁ ə v a s
correctif	k ɔ ʁ ɛ k t i f
crevaux	k ʁ ə v o
cornet	k ɔ ʁ n ɛ
coromandel	k ɔ ʁ ɔ m ɑ̃ d ɛ l
criatil	k ʁ i j a t i
criatil	k ʁ i j a t i l
correspond	k ɔ ʁ ɛ s p ɔ̃
criait	k ʁ i j ɛ
correspondait	k ɔ ʁ ɛ s p ɔ̃ d ɛ
correspondants	k ɔ ʁ ɛ s p ɔ̃ d ɑ̃
criant	k ʁ i j ɑ̃
correspondent	k ɔ ʁ ɛ s p ɔ̃ d
criblé	k ʁ i b l e
corrigeait	k ɔ ʁ i ʒ ɛ
corridors	k ɔ ʁ i d ɔ ʁ
criblées	k ʁ i b l e
corrompu	k ɔ ʁ ɔ̃ p y
corrigé	k ɔ ʁ i ʒ e
crietil	k ʁ i e t i
crietil	k ʁ i j e t i
crietil	k ʁ i j ɛ t i
crietil	k ʁ i t i
crietil	k ʁ j e t i
corrosive	k ɔ ʁ o z i v
crimes	k ʁ i m
cortèges	k ɔ ʁ t ɛ ʒ
corse	k ɔ ʁ s
criminel	k ʁ i m i n ɛ l
cortège	k ɔ ʁ t ɛ ʒ
cosmos	k ɔ s m o s
cosettes	k o s ɛ t
cosettes	k o z ɛ t
crinière	k ʁ i ɲ ɛ ʁ
cosse	k ɔ s
cossonnerie	k o s ɔ n ʁ i
cossonnerie	k ɔ s ɔ n ʁ i
coton	k ɔ t ɔ̃
costumes	k ɔ s t y m
cris	k ʁ i
coteries	k ɔ t ʁ i
crise	k ʁ i z
couchait	k u ʃ ɛ
couchaitelle	k u ʃ e t ɛ l
crispa	k ʁ i s p a
coucherez	k u ʃ ʁ e
crispation	k ʁ i s p a s j ɔ̃
crispé	k ʁ i s p e
crispés	k ʁ i s p e
coucherai	k u ʃ ʁ e
couchette	k u ʃ ɛ t
couchée	k u ʃ e
coucou	k u k u
coudoyé	k u d w a j e
coulage	k u l a ʒ
coulait	k u l ɛ
coulant	k u l ɑ̃
cristaux	k ʁ i s t o
couché	k u ʃ e
coulerons	k u l ə ʁ ɔ̃
coulisse	k u ʎ i s
critique	k ʁ i t i k
criât	k ʁ i j ɑ
crié	k ʁ i j e
crocenjambe	k ʁ ɔ s ɑ̃ ʒ ɑ̃ b
croie	k ʁ w a
croient	k ʁ w a
coupa	k u p a
croirait	k ʁ w a ʁ ɛ
cougourde	k u ɡ u ʁ d
crois	k ʁ w a
coupe	k u p
coule	k u l
couleuvre	k u l œ v ʁ
coulée	k u l e
croisaient	k ʁ w a s
croisaient	k ʁ w a s ɛ
croisaient	k ʁ w a z i
croisaient	k ʁ w a z ɛ
croisaient	k ʁ w ɛ
couplà	k u p l a
croisements	k ʁ w a z m ɑ̃
coupelevent	k u p l v ɑ̃
coupelevent	k u p ɛ l v ɑ̃
croissait	k ʁ w a s ɛ
coupait	k u p ɛ
croissants	k ʁ w a s ɑ̃
coupechou	k u p ʃ u
couplet	k u p l ɛ
croisée	k ʁ w a z e
coupent	k u p
croisés	k ʁ w a z e
croit	k ʁ w a
coupée	k u p e
croix	k ʁ w a
coupé	k u p e
croquemitaine	k ʁ ɔ k m i t ɛ n
coupés	k u p e
croupe	k ʁ u p
cour	k u ʁ
croyable	k ʁ w a j a b l
croyaient	k ʁ w a j ɛ
croyaient	k ʁ w ɑ j ɛ
croyait	k ʁ w ɑ j ɛ
croyant	k ʁ w ɑ j ɑ̃
croyez	k ʁ w a j e
croyez	k ʁ w ɑ j e
croyez	k ʁ ɔ j e
courageuse	k u ʁ a ʒ ø z
couraient	k u ʁ ɛ
croyezvous	k ʁ w a j e v u
croyezvous	k ʁ w ɑ j e v u
crozon	k ʁ o z ɔ̃
croître	k ʁ w a t ʁ
crucifix	k ʁ y s i f i
cruelle	k ʁ y ɛ l
courantes	k u ʁ ɑ̃ t
courba	k u ʁ b a
crut	k ʁ y
crut	k ʁ y t
courbe	k u ʁ b
courbait	k u ʁ b ɛ
crâne	k ʁ ɑ n
courber	k u ʁ b e
courbure	k u ʁ b y ʁ
crève	k ʁ ɛ v
courbée	k u ʁ b e
créant	k ʁ e ɑ̃
courent	k u ʁ
création	k ʁ e a s j ɔ̃
courir	k u ʁ i ʁ
créature	k ʁ e a t y ʁ
crédit	k ʁ e d i
crée	k ʁ e
créer	k ʁ e e
cournand	k u ʁ n ɑ̃
cournet	k u ʁ n ɛ
créneler	k ʁ e n l e
créneler	k ʁ e n ə l e
créneler	k ʁ ɛ n l e
crépusculaire	k ʁ e p y s k y l ɛ ʁ
créqui	k ʁ e k ɥ i
crétet	k ʁ e t ɛ
couronne	k u ʁ ɔ n
cueillie	k œ j i
couronné	k u ʁ ɔ n e
cuirassiers	k ɥ i ʁ a s j e
couronnée	k u ʁ ɔ n e
cuisine	k ɥ i z i n
couronnent	k u ʁ ɔ n
cuisse	k ɥ i s
courrier	k u ʁ j e
court	k u ʁ
cuisses	k ɥ i s
cuivres	k ɥ i v ʁ
culdesac	k y l d ə s a k
culdesac	k y l d ɛ s a k
culminant	k y l m i n ɑ̃
culsdesac	k y l d ɛ s a k
culsdesac	k y l s d ə s a k
culsdesac	k y l s d ɛ s a k
cultive	k y l t i v
culturesaintecatherine	k y l t y ʁ ɛ s ɛ̃ k a t ʁ i n
curieux	k y ʁ j ø
curé	k y ʁ e
courtes	k u ʁ t
cyclistes	s i k ʎ i s t
courtoisement	k u ʁ t w a z m ɑ̃
cydathenum	s i d a t ɛ ə n ɔ m
cygnes	s i ɲ
cynique	s i ɲ i k
câble	k ɑ b l
câlin	k ɑ l ɛ̃
câlin	k ɑ ʎ i n
courtois	k u ʁ t w a
courutil	k u ʁ y t i l
cécité	s e s i t e
courtoisie	k u ʁ t w a z i
cousin	k u z ɛ̃
céda	s e d a
céder	s e d e
coussin	k u s ɛ̃
céleste	s e l ɛ s t
coutemoi	k u t ə m w a
coussinets	k u s i n ɛ
célèbre	s e l ɛ b ʁ
célébrations	s e l e b ʁ a s j ɔ̃
cérémonies	s e ʁ e m ɔ ɲ i
coutures	k u t y ʁ
coutil	k u t i
côtes	k o t
couvait	k u v ɛ
coutumier	k u t y mʲ e
couvents	k u v ɑ̃
côté	k o t e
côtélà	k o t e l a
côtés	k o t e
cœur	k œ ʁ
cestàdire	s ɛ s t a a d i ʁ
cestàdire	s ɛ s t a d i ʁ
cestàdire	t a d i ʁ
cétait	s e t ɛ
d'abeilles	d a b ɛ j
couvert	k u v ɛ ʁ
d'absurde	d a p s y ʁ d
couverts	k u v ɛ ʁ
d'accord	d a k ɔ ʁ
couvraient	k u v ʁ ɛ
d'acier	d a k s j e
d'acier	d a s j e
d'actions	d a k s j ɔ̃
couvrant	k u v ʁ ɑ̃
d'affaire	d a f ɛ ʁ
couvrir	k u v ʁ i ʁ
coïncida	k ɔ ɛ̃ s i d a
d'affreuses	d a f ʁ ø z
couvée	k u v e
coûta	k u t a
d'agressif	d a ɡ ʁ e s i f
d'agressif	d ɡ ʁ e s i f
coïncidence	k ɔ ɛ̃ s i d ɑ̃ s
coûtait	k u t ɛ
d'aile	d a
d'aile	d a j
d'aile	d a z ɛ l
d'aile	d ɛ l
coûterait	k u t ʁ ɛ
coûte	k u t
coûteux	k u t ø
d'air	d a ɛ ʁ
d'air	d e ʁ
d'air	d ɛ ʁ
d'air	d ʁ
craignais	k ʁ ɛ ɲ ɛ
craigne	k ʁ ɛ ɲ
crache	k ʁ a ʃ
craindre	k ʁ ɛ̃ d ʁ
d'aix	d ɛ
craignait	k ʁ ɛ ɲ ɛ
d'alarme	d a l a ʁ m
craintif	k ʁ ɛ̃ t i f
craignent	k ʁ ɛ ɲ
d'alcôve	d a l k o v
cramponnait	k ʁ ɑ̃ p ɔ n ɛ
d'alençon	d a l ɑ̃ s ɔ̃
d'aller	d a l e
craint	k ʁ ɛ̃
cramponner	k ʁ ɑ̃ p ɔ n e
d'alluvions	d a l y v j ɔ̃
craquelé	k ʁ a k l e
d'alors	d l ɔ ʁ
d'amour	d a m u ʁ
d'amoureux	d a m u ʁ ø
d'anatomie	d a n a t ɔ m i
d'anciennes	d ɑ̃ s j ɛ n
d'angoisse	d ɑ̃ ɡ w a s
cramponne	k ʁ ɑ̃ p ɔ n
d'anjou	d ɑ̃ ʒ u
crapaud	k ʁ a p o
d'années	d a n e
cravaté	k ʁ a v a t e
craque	k ʁ a k
d'antin	d ɑ̃ t ɛ̃
crayonnée	k ʁ ɛ j ɔ n e
d'anville	d ɑ̃ v i l
creusait	k ʁ
creusait	k ʁ s ɛ
creusait	k ʁ z ɛ
creusait	k ʁ ø z ɛ
creusait	k ʁ ɛ
d'anxiété	d ɑ̃ k s j e t e
creusement	k ʁ ø z m ɑ̃
d'apparaître	d a p a ʁ ɛ t ʁ
creusé	k ʁ ø z e
crescendo	k ʁ ɛ n d o
d'appeler	d a p l e
d'appeler	d a p ə l e
d'approcher	d a p ʁ ɔ ʃ e
d'après	d a p ʁ ɛ
d'araignées	d a ʁ ɛ ɲ e
d'arc	d a ʁ k
d'arc	d ʁ k
d'argent	d a ʁ ʒ
d'argot	d a ʁ ɡ o
d'arme	d a ʁ m
d'arme	d ə a ʁ m
d'armes	d a ʁ m
d'armée	d a ʁ m e
creux	k ʁ ø
d'arriver	d a ʁ a j v e
d'arriver	d a ʁ i v e
creuse	k ʁ ø z
crevassé	k ʁ ə v a s e
d'arrivée	d a ʁ i v e
cri	k ʁ i
d'artifice	d a ʁ t i f i s
d'artifice	d s a ʁ t i f i s
creusés	k ʁ ø z e
cria	k ʁ i j a
d'artillerie	d a ʁ t i j ʁ i
d'artillerie	d s a ʁ t i j ʁ i
criaient	k ʁ i j ɛ
d'assaillants	d a j ɑ̃
crever	k ʁ ə v e
