dijo	d̪ i x o
aturdían	a t̪ u r ð i a n
boda	b o ð a
bodega	b o ð e ɣ a
bodegones	b o ð e ɣ o n e s
bofetones	b o f e t̪ o n e s
arruinaran	a r w i n a ɾ a n
boleras	b o l e ɾ a s
arrullo	a r u ʎ o
atónito	a t̪ o n i t̪ o
bollos	b o ʎ o s
atónitos	a t̪ o n i t̪ o s
bolsillo	b o l s i ʎ o
bombardeada	b o m b a r ð e a ð a
bondad	b o n d̪ a ð
artesano	a r t̪ e s a n o
auditorio	a u ð i t̪ o ɾ j o
bondades	b o n d̪ a ð e s
bondadosas	b o n d̪ a ð o s a s
bonita	b o n i t̪ a
bonitamente	b o n i t̪ a m e n t̪ e
bonito	b o n i t̪ o
articulando	a r t̪ i k u l a n d̪ o
bonísimas	b o n i s i m a s
augustos	a u ɣ u s t̪ o s
aumenta	a u m e n t̪ a
aumentaban	a u m e n t̪ a β a n
boquirrita	b o c i r i t̪ a
articularon	a r t̪ i k u l a ɾ o n
artificiosamente	a r t̪ i f i θ j o s a m e n t̪ e
aumentara	a u m e n t̪ a ɾ a
aun	a u n
bordado	b o r ð a ð o
aunque	a u ɲ c e
bordes	b o r ð e s
borrachera	b o r a tʃ e ɾ a
borracheras	b o r a tʃ e ɾ a s
borracho	b o r a tʃ o
borrachón	b o r a tʃ o n
borrajeaba	b o r a ç e a β a
aurea	a u ɾ e a
borrascoso	b o r a s k o s o
borró	b o r o
bosque	b o s c e
artículos	a r t̪ i k u l o s
bosquecillo	b o s c e θ i ʎ o
bosques	b o s c e s
bota	b o t̪ a
botas	b o t̪ a s
artífices	a r t̪ i f i θ e s
botella	b o t̪ e ʎ a
austero	a u s t̪ e ɾ o
arzones	a r θ o n e s
botellas	b o t̪ e ʎ a s
botellitas	b o t̪ e ʎ i t̪ a s
boticario	b o t̪ i k a ɾ j o
asalariados	a s a l a ɾ j a ð o s
autenticidad	a u t̪ e n t̪ i θ i ð a ð
botijos	b o t̪ i x o s
botonados	b o t̪ o n a ð o s
asaltadores	a s a l t̪ a ð o ɾ e s
bozo	b o θ o
asalto	a s a l t̪ o
brama	b ɾ a m a
autoridades	a u t̪ o ɾ i ð a ð e s
ascendente	a s θ e n d̪ e n t̪ e
bramaban	b ɾ a m a β a n
autorizadas	a u t̪ o ɾ i θ a ð a s
bramido	b ɾ a m i ð o
auxiliares	a u ɣ s i l j a ɾ e s
ascenso	a s θ e n s o
bravata	b ɾ a β a t̪ a
avalancha	a β a l a n tʃ a
bravo	b ɾ a β o
avanzaba	a β a n θ a β a
bravura	b ɾ a β u ɾ a
ascética	a s θ e t̪ i k a
brazo	b ɾ a θ o
avanzado	a β a n θ a ð o
asegurada	a s e ɣ u ɾ a ð a
aseguran	a s e ɣ u ɾ a n
brazos	b ɾ a θ o s
avanzaron	a β a n θ a ɾ o n
avanzó	a β a n θ o
avaricia	a β a ɾ i θ j a
avaro	a β a ɾ o
ave	a β e
avellanas	a β e ʎ a n a s
avenidas	a β e n i ð a s
aseguráronme	a s e ɣ u ɾ a r o m e
aseguráronme	a s e ɣ u ɾ a ɾ o m e
aseguráronme	a s e ɣ u ɾ a ɾ o ŋ m e
brecha	b ɾ e tʃ a
brechas	b ɾ e tʃ a s
asemejara	a s e m e x a ɾ a
asemejarse	a s e m e x a r s e
asesinar	a s e s i n a ɾ
asesino	a s e s i n o
asida	a s i ð a
asidocon	a s i ð o k o n
brezos	b ɾ e θ o s
aventuré	a β e n t̪ u ɾ e
avergoncé	a β e r ɣ o n θ e
bribones	b ɾ i β o n e s
bribón	b ɾ i β o n
bridas	b ɾ i ð a s
brigadier	b ɾ i ɣ a ð j e ɾ
avergonzarás	a β e r ɣ o n θ a ɾ a s
brillaba	b ɾ i ʎ a β a
asimismo	a s i m i s m o
brillantes	b ɾ i ʎ a n t̪ e s
averiados	a β e ɾ j a ð o s
brillo	b ɾ i ʎ o
averiguando	a β e ɾ i ɣ w a n d̪ o
brincar	b ɾ i ŋ k a ɾ
averiguara	a β e ɾ i ɣ w a ɾ a
briosa	b ɾ j o s a
asistirle	a s i s t̪ i r l e
avisado	a β i s a ð o
británicos	b ɾ i t̪ a n i k o s
broma	b ɾ o m a
avisaron	a β i s a ɾ o n
asistía	a s i s t̪ i a
asiéndome	a s j e n d̪ o m e
asociación	a s o θ j a θ j o n
bromas	b ɾ o m a s
bromea	b ɾ o m e a
bromitas	b ɾ o m i t̪ a s
asociar	a s o θ j a ɾ
avise	a β i s e
bronce	b ɾ o n θ e
avispado	a β i s p a ð o
brotar	b ɾ o t̪ a ɾ
asomamos	a s o m a m o s
aviva	a β i β a
brotase	b ɾ o t̪ a s e
asomarse	a s o m a r s e
avivará	a β i β a ɾ a
brujas	b ɾ u x a s
brujerías	b ɾ u ç e ɾ i a s
brumosa	b ɾ u m o s a
bruscamente	b ɾ u s k a m e n t̪ e
ayudado	a ʝ u ð a ð o
ayudar	a ʝ u ð a ɾ
brutalidad	b ɾ u t̪ a l i ð a ð
asombrar	a s o m b ɾ a ɾ
bruto	b ɾ u t̪ o
ayudaron	a ʝ u ð a ɾ o n
ayudarás	a ʝ u ð a ɾ a s
brío	b ɾ i o
ayudase	a ʝ u ð a s e
ayudemos	a ʝ u ð e m o s
buche	b u tʃ e
buena	b w e n a
buenas	b w e n a s
asombros	a s o m b ɾ o s
bueno	b w e n o
ayunos	a ʝ u n o s
buenos	b w e n o s
buey	b w e i
bufas	b u f a s
bufón	b u f o n
buhardilla	b u a r ð i ʎ a
buitre	b w i t̪ ɾ e
bulla	b u ʎ a
bullangueros	b u l a ɲ ɟ e ɾ o s
bullangueros	b u ʎ a ɲ ɟ e ɾ o s
bulliciosamente	b u ʎ i θ j o s a m e n t̪ e
asombráis	a s o m b ɾ a i s
burlaban	b u r l a β a n
aspan	a s p a n
burlar	b u r l a ɾ
azadón	a θ a ð o n
azahar	a θ a a ɾ
azorado	a θ o ɾ a ð o
burlarme	b u r l a r m e
azotado	a θ o t̪ a ð o
burlarse	b u r l a r s e
azotador	a θ o t̪ a ð o ɾ
burlesca	b u r l e s k a
aspillerado	a s p i ʎ e ɾ a ð o
azoten	a θ o t̪ e n
burlo	b u r l o
aspilleras	a s p i ʎ e ɾ a s
azufre	a θ u f ɾ e
burlonamente	b u r l o n a m e n t̪ e
aspiración	a s p i ɾ a θ j o n
azul	a θ u l
burro	b u r o
aspiraras	a s p i ɾ a ɾ a s
busca	b u s k a
astamos	a s t̪ a m o s
buscaban	b u s k a β a n
azuzado	a θ u θ a ð o
buscado	b u s k a ð o
astuta	a s t̪ u t̪ a
aéreos	a e ɾ e o s
buscan	b u s k a n
añadido	a ɲ a ð i ð o
buscando	b u s k a n d̪ o
buscaremos	b u s k a ɾ e m o s
buscarlo	b u s k a r l o
asustada	a s u s t̪ a ð a
buscarme	b u s k a r m e
asustar	a s u s t̪ a ɾ
asustarme	a s u s t̪ a r m e
asustas	a s u s t̪ a s
buscarán	b u s k a ɾ a n
asustó	a s u s t̪ o
añejo	a ɲ e x o
buscase	b u s k a s e
busco	b u s k o
año	a ɲ o
buscándole	b u s k a n d̪ o l e
buscándote	b u s k a n d̪ o t̪ e
buscáronme	b u s k a r o m e
buscáronme	b u s k a ɾ o m e
buscáronme	b u s k a ɾ o ŋ m e
busto	b u s t̪ o
buñuelos	b u ɲ w e l o s
bárbaramente	b a r β a ɾ a m e n t̪ e
bártulos	b a r t̪ u l o s
bóveda	b o β e ð a
c	k
c	θ e
ca	k a
asísteme	a s i s t̪ e m e
ataca	a t̪ a k a
atacaremos	a t̪ a k a ɾ e m o s
atacaron	a t̪ a k a ɾ o n
atacándose	a t̪ a k a n d̪ o s e
atajos	a t̪ a x o s
atarugasen	a t̪ a ɾ u ɣ a s e n
atendiendo	a t̪ e n d̪ j e n d̪ o
atendían	a t̪ e n d̪ i a n
atenuaba	a t̪ e n w a β a
aterraba	a t̪ e r a β a
cabalgadura	k a β a l ɣ a ð u ɾ a
badajos	b a ð a x o s
bah	b a
bah	b a a
cabalgaduras	k a β a l ɣ a ð u ɾ a s
baila	b a i l a
cabalgantes	k a β a l ɣ a n t̪ e s
bailamos	b a i l a m o s
caballerescas	k a β a ʎ e ɾ e s k a s
caballerito	k a β a ʎ e ɾ i t̪ o
aterraron	a t̪ e r a ɾ o n
atestada	a t̪ e s t̪ a ð a
atiplaba	a t̪ i p l a β a
atolondramiento	a t̪ o l o n d̪ ɾ a m j e n t̪ o
caballero	k a β a ʎ e ɾ o
atraer	a t̪ ɾ a e ɾ
baile	b a i l e
bailes	b a i l e s
baja	b a x a
atrajo	a t̪ ɾ a x o
atrasada	a t̪ ɾ a s a ð a
atravesaba	a t̪ ɾ a β e s a β a
atravesando	a t̪ ɾ a β e s a n d̪ o
atravesaron	a t̪ ɾ a β e s a ɾ o n
atravesó	a t̪ ɾ a β e s o
atraérselo	a t̪ ɾ a e r s e l o
atrechos	a t̪ ɾ e tʃ o s
atreverá	a t̪ ɾ e β e ɾ a
atrevida	a t̪ ɾ e β i ð a
atreviera	a t̪ ɾ e β j e ɾ a
bajado	b a x a ð o
bajando	b a x a n d̪ o
caballerosidad	k a β a ʎ e ɾ o s i ð a ð
atrevió	a t̪ ɾ e β j o
caballería	k a β a ʎ e ɾ i a
bajará	b a x a ɾ a
atrevéis	a t̪ ɾ e β e i s
caballeríahicieron	k a β a ʎ e ɾ i a i θ j e ɾ o n
bajas	b a x a s
atribuir	a t̪ ɾ i β w i ɾ
atribuirse	a t̪ ɾ i β w i r s e
atribuyan	a t̪ ɾ i β u ʝ a n
atrincheradas	a t̪ ɾ i n tʃ e ɾ a ð a s
atronar	a t̪ ɾ o n a ɾ
atropella	a t̪ ɾ o p e ʎ a
caballerías	k a β a ʎ e ɾ i a s
caballo	k a β a ʎ o
caballos	k a β a ʎ o s
cabecitas	k a β e θ i t̪ a s
atropellarse	a t̪ ɾ o p e ʎ a r s e
cabellera	k a β e ʎ e ɾ a
cabellos	k a β e ʎ o s
caber	k a β e ɾ
cabeza	k a β e θ a
bajos	b a x o s
bajó	b a x o
balanza	b a l a n θ a
balbucir	b a l β u θ i ɾ
cabezas	k a β e θ a s
balde	b a l d̪ e
ballenas	b a ʎ e n a s
bandada	b a n d̪ a ð a
bandeja	b a n d̪ e x a
cabos	k a β o s
banderillas	b a n d̪ e ɾ i ʎ a s
cabriolas	k a β ɾ j o l a s
bandolero	b a n d̪ o l e ɾ o
cabíamos	k a β i a m o s
cacharrería	k a tʃ a r e ɾ i a
cachivaches	k a tʃ i β a tʃ e s
cada	k a ð a
cadalso	k a ð a l s o
bandos	b a n d̪ o s
banqueta	b a ɲ c e t̪ a
baraja	b a ɾ a x a
cadavérico	k a ð a β e ɾ i k o
baratijas	b a ɾ a t̪ i x a s
cadenas	k a ð e n a s
ató	a t̪ o
cadáver	k a ð a β e ɾ
barbarie	b a r β a ɾ j e
barbas	b a r β a s
barbilinda	b a r β i l i n d̪ a
barbudos	b a r β u ð o s
barrabasada	b a r a β a s a ð a
cadáveres	k a ð a β e ɾ e s
barre	b a r e
caelo	k a e l o
barrera	b a r e ɾ a
audición	a u ð i θ j o n
caer	k a e ɾ
barridos	b a r i ð o s
auditivo	a u ð i t̪ i β o
barrilete	b a r i l e t̪ e
caeremos	k a e ɾ e m o s
cafres	k a f ɾ e s
café	k a f e
barro	b a r o
augusta	a u ɣ u s t̪ a
aullido	a u ʎ i ð o
aullé	a u ʎ e
aumentar	a u m e n t̪ a ɾ
aumento	a u m e n t̪ o
aumentó	a u m e n t̪ o
aunquenosotros	a u ɲ c e n o s o t̪ ɾ o s
ausente	a u s e n t̪ e
cafés	k a f e s
caigo	k a i ɣ o
cajas	k a x a s
cajón	k a x o n
calabazadas	k a l a β a θ a ð a s
barrunto	b a r u n t̪ o
calabozo	k a l a β o θ o
austriacosde	a u s t̪ ɾ j a k o s ð e
calagurritano	k a l a ɣ u r i t̪ a n o
autores	a u t̪ o ɾ e s
calavera	k a l a β e ɾ a
calaverada	k a l a β e ɾ a ð a
calcinado	k a l θ i n a ð o
autorizada	a u t̪ o ɾ i θ a ð a
calderero	k a l d̪ e ɾ e ɾ o
autorizan	a u t̪ o ɾ i θ a n
caldero	k a l d̪ e ɾ o
caldos	k a l d̪ o s
bastaban	b a s t̪ a β a n
calentaban	k a l e n t̪ a β a n
calentaré	k a l e n t̪ a ɾ e
calenturaa	k a l e n t̪ u ɾ a
calenturaa	k a l e n t̪ u ɾ a a
calenturaa	k a l e n t̪ u ɾ a a a
auxiliaba	a u ɣ s i l j a β a
avancemos	a β a n θ e m o s
calenturiento	k a l e n t̪ u ɾ j e n t̪ o
avanzaban	a β a n θ a β a n
calentó	k a l e n t̪ o
calidad	k a l i ð a ð
caliente	k a l j e n t̪ e
califa	k a l i f a
bastará	b a s t̪ a ɾ a
baste	b a s t̪ e
bastón	b a s t̪ o n
avanzamos	a β a n θ a m o s
batallitas	b a t̪ ʎ i t̪ a s
calificabais	k a l i f i k a β a i s
calla	k a ʎ a
callaba	k a ʎ a β a
batería	b a t̪ e ɾ i a
callada	k a ʎ a ð a
avanzábamos	a β a n θ a β a m o s
batiendo	b a t̪ j e n d̪ o
calladita	k a ʎ a ð i t̪ a
avecillas	a β e θ i ʎ a s
callamos	k a ʎ a m o s
callando	k a ʎ a n d̪ o
batir	b a t̪ i ɾ
batirlos	b a t̪ i r l o s
batiros	b a t̪ i ɾ o s
batirá	b a t̪ i ɾ a
avenida	a β e n i ð a
batáis	b a t̪ a i s
batíamos	b a t̪ i a m o s
callar	k a ʎ a ɾ
bazares	b a θ a ɾ e s
beatífica	b e a t̪ i f i k a
callaré	k a ʎ a ɾ e
aventurarse	a β e n t̪ u ɾ a r s e
aventurera	a β e n t̪ u ɾ e ɾ a
avergonzados	a β e r ɣ o n θ a ð o s
callas	k a ʎ a s
callasteis	k a ʎ a s t̪ e i s
calle	k a ʎ e
callejuela	k a ʎ e x w e l a
callejón	k a ʎ e x o n
callen	k a ʎ e n
calles	k a ʎ e s
callos	k a ʎ o s
bebamos	b e β a m o s
calma	k a l m a
calmarla	k a l m a r l a
avergüenza	a β e r ɣ w e n θ a
calmosa	k a l m o s a
calor	k a l o ɾ
calores	k a l o ɾ e s
averno	a β e r n o
aviar	a β j a ɾ
avinagrado	a β i n a ɣ ɾ a ð o
avisará	a β i s a ɾ a
calumnia	k a l u m ɲ j a
avisas	a β i s a s
avisádmelo	a β i s a ð m e l o
avisádmelo	a β i s ð m e l o
calumniado	k a l u m ɲ j a ð o
beberán	b e β e ɾ a n
bebido	b e β i ð o
avísamelo	a β i s a m e l o
ayudadas	a ʝ u ð a ð a s
ayudan	a ʝ u ð a n
calumniaros	k a l u m ɲ j a ɾ o s
calurosa	k a l u ɾ o s a
calva	k a l β a
ayudantía	a ʝ u ð a n t̪ i a
bebiendo	b e β j e n d̪ o
calza	k a l θ a
ayudarme	a ʝ u ð a r m e
ayudas	a ʝ u ð a s
calzada	k a l θ a ð a
bebiéndose	b e β j e n d̪ o s e
bebía	b e β i a
calzando	k a l θ a n d̪ o
calzonazos	k a l θ o n a θ o s
beldades	b e l d̪ a ð e s
calígrafo	k a l i ɣ ɾ a f o
cama	k a m a
bello	b e ʎ o
bellota	b e ʎ o t̪ a
bendiciones	b e n d̪ i θ j o n e s
benditos	b e n d̪ i t̪ o s
beneficio	b e n e f i θ j o
benemérita	b e n e m e ɾ i t̪ a
benevolencia	b e n e β o l e n θ j a
benévolo	b e n e β o l o
bergamota	b e r ɣ a m o t̪ a
bergantes	b e r ɣ a n t̪ e s
berridos	b e r i ð o s
besaban	b e s a β a n
ayudó	a ʝ u ð o
ayúdame	a ʝ u ð a m e
camaradas	k a m a ɾ a ð a s
azada	a θ a ð a
besaran	b e s a ɾ a n
beso	b e s o
bestias	b e s t̪ j a s
besé	b e s e
azafrán	a θ a f ɾ a n
camarín	k a m a ɾ i n
biche	b i tʃ e
azogado	a θ o ɣ a ð o
camas	k a m a s
azoramiento	a θ o ɾ a m j e n t̪ o
azotaré	a θ o t̪ a ɾ e
azulada	a θ u l a ð a
aéreas	a e ɾ e a s
cambiado	k a m b j a ð o
añadidura	a ɲ a ð i ð u ɾ a
bienes	b j e n e s
bienestar	b j e n e s t̪ a ɾ
bienquisto	b j e ɲ c i s t̪ o
biformem	b i f o r m e m
bigote	b i ɣ o t̪ e
cambiantes	k a m b j a n t̪ e s
cambio	k a m b j o
bisagras	b i s a ɣ ɾ a s
añasca	a ɲ a s k a
cambió	k a m b j o
bizmarle	b i θ m a r l e
camilla	k a m i ʎ a
caminantes	k a m i n a n t̪ e s
camino	k a m i n o
caminos	k a m i n o s
camisa	k a m i s a
camorra	k a m o r a
campal	k a m p a l
campamento	k a m p a m e n t̪ o
campamentos	k a m p a m e n t̪ o s
campanas	k a m p a n a s
campanilla	k a m p a n i ʎ a
campaña	k a m p a ɲ a
blanco	b l a ŋ k o
aúnen	a u n e n
campechano	k a m p e tʃ a n o
campestres	k a m p e s t̪ ɾ e s
blandiendo	b l a n d̪ j e n d̪ o
badulaques	b a ð u l a c e s
blanduras	b l a n d̪ u ɾ a s
blanqueada	b l a ɲ c e a ð a
blanquísima	b l a ɲ c i s i m a
blasfemias	b l a s f e m j a s
bledos	b l e ð o s
bloqueará	b l o c e a ɾ a
bobalicón	b o β a l i k o n
bobo	b o β o
bobos	b o β o s
boca	b o k a
bocacalle	b o k a k a ʎ e
campo	k a m p o
bofetada	b o f e t̪ a ð a
boga	b o ɣ a
bolas	b o l a s
bolero	b o l e ɾ o
bolsa	b o l s a
campos	k a m p o s
canalla	k a n a ʎ a
bailado	b a i l a ð o
canallas	k a n a ʎ a s
bailando	b a i l a n d̪ o
cancel	k a n θ e l
bolsillos	b o l s i ʎ o s
bonapartista	b o n a p a r t̪ i s t̪ a
bondadosamente	b o n d̪ a ð o s a m e n t̪ e
bonitas	b o n i t̪ a s
bonitos	b o n i t̪ o s
boquete	b o c e t̪ e
borbónico	b o r β o n i k o
bordadas	b o r ð a ð a s
borde	b o r ð e
borra	b o r a
borrachos	b o r a tʃ o s
borrado	b o r a ð o
borrarse	b o r a r s e
borrascosa	b o r a s k o s a
borrándose	b o r a n d̪ o s e
canción	k a n θ j o n
candente	k a n d̪ e n t̪ e
bote	b o t̪ e
candil	k a n d̪ i l
bajaban	b a x a β a n
candor	k a n d̪ o ɾ
canela	k a n e l a
botellicas	b o t̪ e ʎ i k a s
botes	b o t̪ e s
boticarios	b o t̪ i k a ɾ j o s
bajan	b a x a n
canjeados	k a ɲ ç e a ð o s
botillería	b o t̪ i ʎ e ɾ i a
cansadas	k a n s a ð a s
botín	b o t̪ i n
bajaron	b a x a ɾ o n
cansado	k a n s a ð o
botón	b o t̪ o n
bragas	b ɾ a ɣ a s
bramaba	b ɾ a m a β a
cansancio	k a n s a n θ j o
bramando	b ɾ a m a n d̪ o
cansarme	k a n s a r m e
bajes	b a ç e s
brasas	b ɾ a s a s
cansó	k a n s o
bajito	b a ç i t̪ o
bravos	b ɾ a β o s
canta	k a n t̪ a
cantad	k a n t̪ a ð
bajásemos	b a x a s e m o s
cantadoras	k a n t̪ a ð o ɾ a s
balazos	b a l a θ o s
cantando	k a n t̪ a n d̪ o
balbuciendo	b a l β u θ j e n d̪ o
cantar	k a n t̪ a ɾ
cantares	k a n t̪ a ɾ e s
canten	k a n t̪ e n
brevemente	b ɾ e β e m e n t̪ e
cantina	k a n t̪ i n a
bribonadas	b ɾ i β o n a ð a s
canto	k a n t̪ o
balido	b a l i ð o
brigada	b ɾ i ɣ a ð a
cantueso	k a n t̪ w e s o
banco	b a ŋ k o
bandadas	b a n d̪ a ð a s
capa	k a p a
capas	k a p a s
capaz	k a p a θ
brillante	b ɾ i ʎ a n t̪ e
brillaron	b ɾ i ʎ a ɾ o n
brilló	b ɾ i ʎ o
brindemos	b ɾ i n d̪ e m o s
británica	b ɾ i t̪ a n i k a
bromeando	b ɾ o m e a n d̪ o
brotaba	b ɾ o t̪ a β a
brotó	b ɾ o t̪ o
bruja	b ɾ u x a
brujo	b ɾ u x o
brumas	b ɾ u m a s
brusca	b ɾ u s k a
capilla	k a p i ʎ a
brusco	b ɾ u s k o
capita	k a p i t̪ a
brutal	b ɾ u t̪ a l
capitalísimo	k a p i t̪ a l i s i m o
brutales	b ɾ u t̪ a l e s
capitaneados	k a p i t̪ a n e a ð o s
capiteles	k a p i t̪ e l e s
bríos	b ɾ i o s
capitulación	k a p i t̪ u l a θ j o n
barahúnda	b a ɾ a u n d̪ a
capitular	k a p i t̪ u l a ɾ
barata	b a ɾ a t̪ a
capitán	k a p i t̪ a n
caporal	k a p o ɾ a l
barbilindo	b a r β i l i n d̪ o
capotes	k a p o t̪ e s
buenossentimientos	b w e n o s e n t̪ i m j e n t̪ o s
barra	b a r a
caprichosa	k a p ɾ i tʃ o s a
bullicio	b u ʎ i θ j o
barrabasadas	b a r a β a s a ð a s
capullo	k a p u ʎ o
capítulo	k a p i t̪ u l o
barrerla	b a r e r l a
cara	k a ɾ a
bullicioso	b u ʎ i θ j o s o
barriga	b a r i ɣ a
bultos	b u l t̪ o s
caracteres	k a ɾ a ɣ t̪ e ɾ e s
burdo	b u r ð o
burla	b u r l a
caras	k a ɾ a s
burlado	b u r l a ð o
carbón	k a r β o n
burlarle	b u r l a r l e
barrotes	b a r o t̪ e s
barón	b a ɾ o n
bases	b a s e s
carcajada	k a r k a x a ð a
carcajadas	k a r k a x a ð a s
carcelero	k a ɾ θ e l e ɾ o
carcomido	k a r k o m i ð o
burlarpor	b u r l a r p o ɾ
burlarpor	b u r l a ɾ p o ɾ
cardenal	k a r ð e n a l
burlesco	b u r l e s k o
carecen	k a ɾ e θ e n
bastaron	b a s t̪ a ɾ o n
bastaría	b a s t̪ a ɾ i a
burlona	b u r l o n a
burlábanse	b u r l a β a n s e
burlándose	b u r l a n d̪ o s e
buscaba	b u s k a β a
carecido	k a ɾ e θ i ð o
carencia	k a ɾ e n θ j a
caretas	k a ɾ e t̪ a s
buscamos	b u s k a m o s
cargado	k a r ɣ a ð o
cargando	k a r ɣ a n d̪ o
batahola	b a t̪ a o l a
buscaran	b u s k a ɾ a n
cargar	k a r ɣ a ɾ
buscarla	b u s k a r l a
buscarlos	b u s k a r l o s
cargaron	k a r ɣ a ɾ o n
buscarte	b u s k a r t̪ e
cargo	k a r ɣ o
cargue	k a r ʝ e
buscas	b u s k a s
caribes	k a ɾ i β e s
caricatura	k a ɾ i k a t̪ u ɾ a
batallones	b a t̪ a ʎ o n e s
caricias	k a ɾ i θ j a s
buscándolo	b u s k a n d̪ o l o
caridad	k a ɾ i ð a ð
buscándonos	b u s k a n d̪ o n o s
busquelo	b u s c e l o
busquemos	b u s c e m o s
busqué	b u s c e
carita	k a ɾ i t̪ a
caritativas	k a ɾ i t̪ a t̪ i β a s
bustos	b u s t̪ o s
caritativos	k a ɾ i t̪ a t̪ i β o s
cariño	k a ɾ i ɲ o
cariñosa	k a ɾ i ɲ o s a
batirme	b a t̪ i r m e
b	b e
cariñosas	k a ɾ i ɲ o s a s
bárbara	b a r β a ɾ a
batirse	b a t̪ i r s e
cariñoso	k a ɾ i ɲ o s o
bárbaro	b a r β a ɾ o
batiéndose	b a t̪ j e n d̪ o s e
carnal	k a r n a l
bárbaros	b a r β a ɾ o s
carne	k a r n e
bélico	b e l i k o
bían	b i a n
bóbilis	b o β i l i s
bú	b u
búsquedas	b u s c e ð a s
cabalgando	k a β a l ɣ a n d̪ o
caballeresca	k a β a ʎ e ɾ e s k a
caballerescos	k a β a ʎ e ɾ e s k o s
carnero	k a r n e ɾ o
carneros	k a r n e ɾ o s
carnes	k a r n e s
carniceros	k a r n i θ e ɾ o s
carnicerías	k a r n i θ e ɾ i a s
carrasca	k a r a s k a
carrera	k a r e ɾ a
carretera	k a r e t̪ e ɾ a
beato	b e a t̪ o
carricoche	k a r i k o tʃ e
beatífico	b e a t̪ i f i k o
bebe	b e β e
caballeros	k a β a ʎ e ɾ o s
carrillo	k a r i ʎ o
carro	k a r o
carromato	k a r o m a t̪ o
beberme	b e β e r m e
caballistas	k a β a ʎ i s t̪ a s
carros	k a r o s
carruaje	k a r w a ç e
bebieran	b e β j e ɾ a n
cabaña	k a β a ɲ a
cabello	k a β e ʎ o
caben	k a β e n
cabestrillo	k a β e s t̪ ɾ i ʎ o
carta	k a r t̪ a
cabida	k a β i ð a
bebí	b e β i
bebían	b e β i a n
beleño	b e l e ɲ o
cabras	k a β ɾ a s
cartas	k a r t̪ a s
belicosa	b e l i k o s a
cabrían	k a β ɾ i a n
bellas	b e ʎ a s
bellezas	b e ʎ e θ a s
cabía	k a β i a
bendeciré	b e n d̪ e θ i ɾ e
cacao	k a k a o
bendiciéndote	b e n d̪ i θ j e n d̪ o t̪ e
benditas	b e n d̪ i t̪ a s
benévolamente	b e n e β o l a m e n t̪ e
beodos	b e o ð o s
bermellonada	b e r m e ʎ o n a ð a
cacarear	k a k a ɾ e a ɾ
cachirulo	k a tʃ i ɾ u l o
besaba	b e s a β a
besando	b e s a n d̪ o
bese	b e s e
cachucha	k a tʃ u tʃ a
cadena	k a ð e n a
cartilla	k a r t̪ i ʎ a
cadencioso	k a ð e n θ j o s o
besándome	b e s a n d̪ o m e
cartita	k a r t̪ i t̪ a
bibliotecario	b i β l j o t̪ e k a ɾ j o
caen	k a e n
bigotes	b i ɣ o t̪ e s
cartucho	k a r t̪ u tʃ o
biombos	b j o m b o s
bizarría	b i θ a r i a
bizmas	b i θ m a s
caerá	k a e ɾ a
cartuchos	k a r t̪ u tʃ o s
biznietos	b i θ ɲ j e t̪ o s
caerían	k a e ɾ i a n
carácter	k a ɾ a ɣ t̪ e ɾ
casa	k a s a
casaayuntamiento	k a s a a ʝ u n t̪ a m j e n t̪ o
casaayuntamiento	k a s a ʝ u n t̪ a m j e n t̪ o
blancura	b l a ŋ k u ɾ a
casado	k a s a ð o
caigan	k a i ɣ a n
blandida	b l a n d̪ i ð a
casamiento	k a s a m j e n t̪ o
casar	k a s a ɾ
casarme	k a s a r m e
caja	k a x a
casarse	k a s a r s e
cajista	k a ç i s t̪ a
casarte	k a s a r t̪ e
blanquísimos	b l a ɲ c i s i m o s
casaré	k a s a ɾ e
casaría	k a s a ɾ i a
blasfemo	b l a s f e m o
casas	k a s a s
calamitosas	k a l a m i t̪ o s a s
blindado	b l i n d̪ a ð o
bloqueo	b l o c e o
cascarón	k a s k a ɾ o n
bobería	b o e ɾ i a
bobería	b o β e ɾ i a
casco	k a s k o
cascos	k a s k o s
calce	k a l θ e
casemos	k a s e m o s
caserón	k a s e ɾ o n
boberías	b o β e ɾ i a s
caldeada	k a l d̪ e a ð a
calderitos	k a l d̪ e ɾ i t̪ o s
casi	k a s i
cale	k a l e
bochorno	b o tʃ o r n o
bodas	b o ð a s
bodegonero	b o ð e ɣ o n e ɾ o
casilla	k a s i ʎ a
calentarse	k a l e n t̪ a r s e
calentura	k a l e n t̪ u ɾ a
bofetón	b o f e t̪ o n
calenturientos	k a l e n t̪ u ɾ j e n t̪ o s
calibres	k a l i β ɾ e s
casos	k a s o s
calientes	k a l j e n t̪ e s
casta	k a s t̪ a
caligrafía	k a l i ɣ ɾ a f i a
caligráfico	k a l i ɣ ɾ a f i k o
callabais	k a ʎ a β a i s
castañuelas	k a s t̪ a ɲ w e l a s
callado	k a ʎ a ð o
castellano	k a s t̪ e ʎ a n o
callandito	k a ʎ a n d̪ i t̪ o
bombardes	b o m b a r ð e s
callaron	k a ʎ a ɾ o n
callase	k a ʎ a s e
castiga	k a s t̪ i ɣ a
castigado	k a s t̪ i ɣ a ð o
bondadosa	b o n d̪ a ð o s a
castigaré	k a s t̪ i ɣ a ɾ e
castigarían	k a s t̪ i ɣ a ɾ i a n
callejones	k a ʎ e x o n e s
