du	d uː
erlebnisse	ɛ ɐ l eː b n ɪ s ə
erledigt	ɛ ɐ l eː d ɪ ç t
erleuchtet	ɛ ɐ l ɔʏ ç tʰ ə t
erschaute	ɛ ɐ ʃ aw tʰ ə
erschaute	ɛ ʁ ʃ aw tʰ ə
erfochten	ɛ ʁ f ɔ x tʰ n̩
erlitt	ɛ ʁ l ɪ t
erscheinen	ɛ ɐ ʃ aj n n̩
erforderte	ɛ ɐ f ɔ ʁ d ɐ tʰ ə
erscheint	ɛ ɐ ʃ aj n t
erscheinung	ɛ ɐ ʃ aj n ʊ ŋ
erlogen	ɛ ɐ l oː ɡ n̩
erforschungen	ɛ ɐ f ɔ ʁ ʃ ʊ ŋ n̩
erschien	ɛ ɐ ʃ iː n
erlustigte	ɛ ɐ l ʊ s t ɪ k tʰ ə
erlöse	ɛ ɐ l øː z ə
erschienen	ɛ ɐ ʃ iː n n̩
erlöst	ɛ ɐ l øː s t
erschienenen	ɛ ɐ ʃ iː n ə n n̩
ermahnungen	ɛ ɐ m aː n ʊ ŋ n̩
erfrischenden	ɛ ɐ f ʁ ɪ ʃ ə n d n̩
erschließen	ɛ ɐ ʃ l iː s n̩
ermittlung	ɛ ɐ m ɪ t l ʊ ŋ
ermordeten	ɛ ɐ m ɔ ʁ d eː tʰ n̩
ermordeten	ɛ ɐ m ɔ ʁ d ə tʰ n̩
erfüllen	ɛ ɐ f ʏ l n̩
erniedrigt	ɛ ɐ n iː d ʁ ɪ ç t
erschlossen	ɛ ɐ ʃ l ɔ s n̩
erschossen	ɛ ɐ ʃ ɔ s n̩
ernste	ɛ ʁ n s t ə
erschrecken	ɛ ʁ ʃ ʁ ɛ kʰ n̩
erfüllten	ɛ ɐ f ʏ l tʰ n̩
erschreckt	ɛ ʁ ʃ ʁ ɛ k t
erschrockene	ɛ ɐ ʃ ʁ ɔ kʰ n̩ ə
erschrockene	ɛ ɐ ʃ ʁ ɔ kʰ ə n ə
ernsthafte	ɛ ʁ n s t h a f tʰ ə
erschöpft	ɛ ɐ ʃ œ pf t
ernten	ɛ ɐ n tʰ n̩
erschöpfte	ɛ ɐ ʃ œ pf tʰ ə
ergoß	ɛ ɐ ɡ oː s
ernähren	ɛ ɐ n eː eː ʁ n̩
ernähren	ɛ ɐ n eː ʁ n̩
eroberten	ɛ ʁ oː b ɐ tʰ n̩
erquicklich	ɛ ɐ k v ɪ k l ɪ ç
erschütternder	ɛ ɐ ʃ ʏ tʰ ɐ n d ə ʁ
ergraute	ɛ ɐ ɡ ʁ aw tʰ ə
ersinnen	ɛ ɐ z ɪ n n̩
erregen	ɛ ʁ eː ɡ n̩
ergreift	ɛ ʁ ɡ ʁ aj f t
erspähen	ɛ ɐ ʃ p eː n̩
ergrübeln	ɛ ɐ ɡ ʁ yː b l̩ n
ergrübeln	ɛ ɐ ɡ ʁ yː b ə l n
ergrübeln	ɛ ʁ ɡ ʁ yː b ə l n
erst	eː ɐ s t
ergötzlicheres	ɛ ʁ ɟ œ ts l ɪ ç ə ʁ ə s
erreichen	ɛ ʁ aj ç n̩
erstarrt	ɛ ɐ ʃ t a ʁ t
erriet	ɛ ʁ iː t
erstarrte	ɛ ɐ ʃ t a ʁ tʰ ə
erhallte	ɛ ɐ h a l tʰ ə
erhallte	ɛ ʁ h a l tʰ ə
erstaunen	ɛ ɐ ʃ t aw n n̩
erhaltung	ɛ ɐ h a l tʰ ʊ ŋ
erhaltung	ɛ ʁ h a l tʰ ʊ ŋ
erhaschte	ɛ ɐ h a ʃ t ə
erringen	ɛ ʁ ɪ ŋ n̩
erheiterten	ɛ ɐ h aj tʰ ɐ tʰ n̩
erstaunlich	ɛ ɐ ʃ t aw n l ɪ ç
erröteten	ɛ ʁ øː tʰ ə tʰ n̩
erstaunt	ɛ ɐ ʃ t aw n t
erschaue	ɛ ɐ ʃ aw ə
erschaue	ɛ ʁ ʃ aw ə
erhitzen	ɛ ʁ h ɪ ts n̩
erstaunte	ɛ ɐ ʃ t aw n tʰ ə
ersteigt	ɛ ɐ ʃ t aj ç t
erschautest	ɛ ɐ ʃ aw tʰ ə s t
erschautest	ɛ ʁ ʃ aw tʰ ə s t
erstenmal	eː ɐ s t n̩ m aː l
erinnernd	ɛ ɐ ɪ n ɐ n t
erstes	eː ɐ s t ə s
ersticken	ɛ ʁ ʃ t ɪ kʰ n̩
erstickte	ɛ ʁ ʃ t ɪ k tʰ ə
erteilt	ɛ ɐ tʰ aj l t
ertragen	ɛ ɐ t ʁ aː ɡ n̩
erscheinungen	ɛ ɐ ʃ aj n ʊ ŋ n̩
ertrinken	ɛ ɐ t ʁ ɪ ŋ kʰ n̩
ertrinkenden	ɛ ɐ t ʁ ɪ ŋ kʰ n̩ d n̩
ertrunkene	ɛ ɐ t ʁ ʊ ŋ kʰ ə n ə
erschießen	ɛ ɐ ʃ iː s n̩
ertränken	ɛ ʁ t ʁ ɛ ŋ kʰ n̩
erschlagen	ɛ ɐ ʃ l aː ɡ n̩
ertönen	ɛ ɐ tʰ øː n n̩
ertönt	ɛ ɐ tʰ øː n t
erschließt	ɛ ɐ ʃ l iː s t
erkennet	ɛ ɐ cʰ ɛ n ə t
ertönte	ɛ ɐ tʰ øː n tʰ ə
erschlossenes	ɛ ɐ ʃ l ɔ s ə n ə s
erkenntlich	ɛ ɐ cʰ ɛ n t l ɪ ç
erwache	ɛ ɐ v a x ə
erkiesen	ɛ ʁ cʰ iː z n̩
erwachend	ɛ ɐ v a x ə n t
erklangen	ɛ ɐ k l a ŋ n̩
erschrocken	ɛ ɐ ʃ ʁ ɔ kʰ n̩
erwachte	ɛ ɐ v a x tʰ ə
erkletterte	ɛ ʁ k l ɛ tʰ ɐ tʰ ə
erschöpfen	ɛ ɐ ʃ œ pf n̩
erwachten	ɛ ɐ v a x tʰ n̩
erwarb	ɛ ɐ v a ʁ p
erschüttern	ɛ ɐ ʃ ʏ tʰ ɐ n
erwarten	ɛ ɐ v a ʁ tʰ n̩
erklärten	ɛ ɐ k l eː ɐ tʰ n̩
erwartete	ɛ ɐ v a ʁ tʰ ə tʰ ə
erkorner	ɛ ɐ kʰ oː ɐ n ɐ
erkorner	ɛ ɐ kʰ oː ʁ n ɐ
erkorner	ɛ ɐ kʰ ɔ ʁ n ɐ
ersehnen	ɛ ɐ z eː n n̩
ersetzen	ɛ ɐ z ɛ ts n̩
erwartung	ɛ ɐ v a ʁ tʰ ʊ ŋ
erspart	ɛ ɐ ʃ p aː ʁ t
erkräftigend	ɛ ɐ k ʁ ɛ f tʰ ɪ ɡ n̩ t
erweckte	ɛ ɐ v ɛ k tʰ ə
erweckte	ɛ ʁ v ɛ k tʰ ə
erlahmte	ɛ ɐ l aː m tʰ ə
erwehren	ɛ ɐ v eː ʁ n̩
erlangen	ɛ ɐ l a ŋ n̩
erweicht	ɛ ɐ v aj ç t
erstarrterem	ɛ ɐ ʃ t a ʁ tʰ ə ʁ m̩
erlassen	ɛ ɐ l a s n̩
erstehen	ɛ ɐ ʃ t eː n̩
ersten	eː ɐ s t n̩
ersterbender	ɛ ɐ ʃ t ɛ ʁ b n̩ d ɐ
ersterbender	ɛ ɐ ʃ t ɛ ʁ b ə n d ɐ
erstickt	ɛ ʁ ʃ t ɪ k t
ersucht	ɛ ɐ z uː x t
ertrag	ɛ ɐ t ʁ aː k
ertrunken	ɛ ɐ t ʁ ʊ ŋ kʰ n̩
ertrunkenen	ɛ ɐ t ʁ ʊ ŋ kʰ ə n n̩
ertönten	ɛ ɐ tʰ øː n tʰ n̩
erwachen	ɛ ɐ v a x n̩
erwacht	ɛ ɐ v a x t
erwachtet	ɛ ɐ v a x tʰ ə t
erlaubnis	ɛ ɐ l aw p n ɪ s
erlaßt	ɛ ɐ l a s t
erlaßt	ɛ ɐ l aː s t
erlaßt	ɛ ʁ l a s t
erwartet	ɛ ɐ v a ʁ tʰ ə t
erwidern	ɛ ɐ v iː d ɐ n
erwarteten	ɛ ɐ v a ʁ tʰ ə tʰ n̩
erwiderte	ɛ ɐ v iː d ɐ tʰ ə
erweckt	ɛ ɐ v ɛ k t
erweckt	ɛ ʁ v ɛ k t
erwiderten	ɛ ɐ v iː d ɐ tʰ n̩
erweckten	ɛ ɐ v ɛ k tʰ n̩
erweckten	ɛ ʁ v ɛ k tʰ n̩
erworben	ɛ ɐ v ɔ ʁ b n̩
erwähne	ɛ ɐ v eː n ə
erwähnen	ɛ ɐ v eː n n̩
erleichtert	ɛ ɐ l aj ç tʰ ɐ t
erwidere	ɛ ɐ v iː d ɐ
erwidere	ɛ ɐ v iː d ə ʁ ə
erwähnte	ɛ ɐ v eː n tʰ ə
erleuchteten	ɛ ɐ l ɔʏ ç tʰ ə tʰ n̩
erwidert	ɛ ɐ v iː d ɐ t
erwähnten	ɛ ɐ v eː n tʰ n̩
erwürgen	ɛ ʁ v ʏ ʁ ɡ n̩
erläßt	ɛ ɐ l eː s t
erläßt	ɛ ɐ l s t
erläßt	ɛ ɐ l ɛ s t
erläßt	ɛ ʁ l s t
erwiesen	ɛ ɐ v iː z n̩
erwähnt	ɛ ɐ v eː n t
erwärmendes	ɛ ʁ v ɛ ʁ m ə n d ə s
erwürgst	ɛ ʁ v ʏ ʁ k s t
erwürgt	ɛ ʁ v ʏ ʁ k t
erlös	ɛ ɐ l øː s
erz	ɛ ʁ ts
erzeigt	ɛ ɐ ts aj k t
erzes	ɛ ʁ ts ə s
erzeugt	ɛ ɐ ts ɔʏ k t
erzgrube	ɛ ɐ ts ɡ ʁ uː b ə
ermahnt	ɛ ɐ m aː n t
ermanne	ɛ ɐ m a n ə
erzeigen	ɛ ɐ ts aj ɡ n̩
erzen	ɛ ʁ ts n̩
erzeugte	ɛ ɐ ts ɔʏ k tʰ ə
ermittelt	ɛ ɐ m ɪ tʰ l̩ t
erzieherinnen	ɛ ɐ ts iː ə ʁ ɪ n n̩
erzielt	ɛ ɐ ts iː l t
erzählen	ɛ ɐ ts eː l n̩
erzählen	ɛ ʁ ts eː l n̩
erzähle	ɛ ɐ ts eː l ə
erzähle	ɛ ʁ ts eː l ə
ermutigt	ɛ ɐ m uː tʰ ɪ ç t
ermüdendste	ɛ ɐ m yː d n̩ ts t ə
erzählt	ɛ ɐ ts eː l t
erneuert	ɛ ɐ n ɔʏ ɐ t
erniedrigung	ɛ ɐ n iː d ʁ ɪ ɡ ʊ ŋ
erzählten	ɛ ɐ ts eː l tʰ n̩
ernsten	ɛ ʁ n s t n̩
erzählte	ɛ ɐ ts eː l tʰ ə
erzählung	ɛ ɐ ts eː l ʊ ŋ
ernstesten	ɛ ʁ n s t ə s t n̩
erzürnt	ɛ ɐ ts ʏ ʁ n t
eröffnen	ɛ ɐ œ f n n̩
ernstliche	ɛ ʁ n s t l ɪ ç ə
eröffnet	ɛ ɐ œ f n ə t
es	eː s
es	ɛ s
esel	eː z l̩
essen	ɛ s n̩
erobern	ɛ ʁ oː b ə ʁ n
eschenbäume	ɛ ʃ n̩ b ɔʏ m ə
etc	ɛ t ʃ
essensdampf	ɛ s n̩ s d a m pf
etlichen	ɛ t l ɪ ç n̩
erquickende	ɛ ɐ k v ɪ kʰ n̩ d ə
erquickende	ɛ ɐ k v ɪ kʰ ə n d ə
etwa	ɛ t v a
etwas	ɛ t v a s
euch	ɔʏ ç
erregt	ɛ ʁ eː ɟ eː t
euerem	ɔʏ ə ʁ m̩
eulen	ɔʏ l n̩
euerm	ɔʏ ɐ m
eurer	ɔʏ ʁ ə ʁ
erreichte	ɛ ʁ aj ç tʰ ə
eure	ɔʏ ʁ ə
europa	ɔʏ ʁ oː pʰ a
errötend	ɛ ʁ øː tʰ n̩ t
euren	ɔʏ ʁ n̩
errötete	ɛ ʁ øː tʰ ə tʰ ə
europäer	ɔʏ ʁ ɔ pʰ eː ɐ
erschaffen	ɛ ɐ ʃ a f n̩
europäerin	ɔʏ ʁ ɔ pʰ eː ɐ ʁ ɪ n
erscheine	ɛ ɐ ʃ aj n ə
europäern	ɔʏ ʁ ɔ pʰ eː ʁ n̩
europäischen	ɔʏ ʁ ɔ pʰ eː ɪ ʃ n̩
europäisch	ɔʏ ʁ ɔ pʰ eː ɪ ʃ
ewig	eː v ɪ k
ewig	eː v ɪ ç
evagrius	ɛ v a ɡ ʁ iː uː s
evagrius	ɛ v a ɡ ʁ ɪ ʊ s
ewigem	eː v ɪ ɡ m̩
evolutionen	ɛ v ɔ l ʊ t s ɪ oː n n̩
ewiger	eː v ɪ ɡ ɐ
ewiges	eː v ɪ ɡ ə s
existiert	ɛ k s ɪ s t iː ɐ t
existierte	ɛ k s ɪ s t iː ɐ tʰ ə
exotischen	ɛ k s oː tʰ ɪ ʃ n̩
extension	ɛ k s t ɛ n s j oː n
eßstäbe	s ʃ t eː b ə
eßstäbe	ɛ s t s ɛ t ʃ t eː b ə
eßstäbe	ɛ s ʃ t eː b ə
fabel	f aː b l̩
experiment	ɛ k s p ɛ ʁ ɪ m ɛ n t
fabelwelt	f aː b l̩ v ɛ l t
fabelwelt	f aː b ə l v ɛ l t
extreme	ɛ k s t ʁ eː m
extreme	ɛ k s t ʁ eː m ə
fach	f a x
eßstäbchen	s ʃ t eː p ç n̩
eßstäbchen	ɛ s t s ɛ t ʃ t eː p ç n̩
eßstäbchen	ɛ s ʃ t eː p ç n̩
erschoß	ɛ ɐ ʃ oː s
erschoß	ɛ ɐ ʃ øː s
erschoß	ɛ ɐ ʃ ɔ s
erschoß	ɛ ʁ ʃ oː s
fackel	f a kʰ l̩
fabrizierte	f a b ʁ ɪ ts iː ɐ tʰ ə
fabrizierte	f a b ʁ ɪ ts iː ʁ tʰ ə
erschrak	ɛ ɐ ʃ ʁ a k
fackellicht	f a kʰ ə l ɪ ç t
fackeldisteln	f a kʰ ə l d ɪ s t l̩ n
erschreckend	ɛ ʁ ʃ ʁ ɛ kʰ n̩ t
erschreckend	ɛ ʁ ʃ ʁ ɛ kʰ ə n t
fackeln	f a kʰ ə l n
fade	f aː d ə
faden	f aː d n̩
erschrockenen	ɛ ɐ ʃ ʁ ɔ kʰ n̩ n̩
erschrockenen	ɛ ɐ ʃ ʁ ɔ kʰ ə n n̩
fades	f aː d ə s
fahlen	f aː l n̩
erschöpften	ɛ ɐ ʃ œ pf tʰ n̩
fahlschwarzem	f aː l ʃ v a ʁ ts eː m
fahne	f aː n ə
erschüttert	ɛ ɐ ʃ ʏ tʰ ɐ t
fahren	f aː n
fahren	f aː ɐ n
fahren	f aː ʁ n̩
fahnen	f aː n n̩
fahrens	f aː ʁ ə n s
fahrt	f aː ɐ t
fahrt	f aː ʁ t
fahrten	f aː ɐ tʰ n̩
fakire	f eː cʰ iː ʁ ə
faktotum	f a k tʰ oː tʰ ʊ m
fall	f a l
fahrräder	f aː ʁ eː d ɐ
ersprießlich	ɛ ɐ ʃ p ʁ iː s l ɪ ç
falle	f a l ə
fahrzeugen	f aː ɐ ts ɔʏ ɡ n̩
erstarren	ɛ ɐ ʃ t a ʁ n̩
erstarrten	ɛ ɐ ʃ t a ʁ tʰ n̩
erstaunliches	ɛ ɐ ʃ t aw n l ɪ ç ə s
erste	eː ɐ s t ə
fallen	f a l n̩
erstehn	ɛ ɐ ʃ t eː n
falls	f a l s
erstemal	eː ɐ s t eː m aː l
erstemal	ɛ ɐ ʃ t eː m aː l
falsch	f a l ʃ
falschen	f a l ʃ n̩
falschheit	f a l ʃ h aj t
faltenlos	f a l tʰ ə n l oː s
falun	f a l uː n
famagusta	f a m aː ɡ ʊ s t a
familienkreis	f a m iː l ɪ ə n k ʁ aj s
ersteren	eː ɐ s t ɐ n
ersteren	eː ɐ s t ɐ ʁ n̩
ersteren	eː ɐ s t ə ʁ n̩
ersuchte	ɛ ɐ z uː x tʰ ə
erteilten	ɛ ɐ tʰ aj l tʰ n̩
ertranken	ɛ ɐ t ʁ a ŋ kʰ n̩
ertrinkende	ɛ ɐ t ʁ ɪ ŋ kʰ n̩ d ə
ertränkten	ɛ ʁ t ʁ ɛ ŋ k tʰ n̩
erudition	ɛ ʁ ʊ d iː ts j oː n
erudition	ɛ ʁ ʊ d ɪ t s j oː n
erwachsene	ɛ ɐ v a k s ə n ə
familienvater	f a m iː l ɪ ə n f aː tʰ ɐ
fanatiker	f a n a tʰ ɪ kʰ ɐ
erwachtest	ɛ ɐ v a x tʰ ə s t
falschem	f a l ʃ m̩
fand	f a n t
erwarte	ɛ ɐ v a ʁ tʰ ə
erwartend	ɛ ɐ v a ʁ tʰ ə n t
fanden	f a n d n̩
falscher	f a l ʃ ɐ
fange	f a ŋ ə
falte	f a l tʰ ə
falten	f a l tʰ n̩
faltete	f a l tʰ ə tʰ ə
fangen	f a ŋ n̩
erwägt	ɛ ɐ v eː ç t
erwählen	ɛ ɐ v eː l n̩
erwärmen	ɛ ʁ v ɛ ʁ m n̩
erwünschteste	ɛ ɐ v ʏ n ʃ t ə s t ə
farbe	f a ʁ b ə
farbe	f aː b ə
erzeugten	ɛ ɐ ts ɔʏ k tʰ n̩
farben	f a ʁ b n̩
erzwungene	ɛ ɐ ts v ʊ ŋ ə n ə
familie	f a m iː l ɪ ə
familienoberhäupter	f a m iː l ɪ ə n oː b ɐ h ɔʏ p tʰ ɐ
farbige	f a ʁ b ɪ ɡ ə
fandest	f a n d ə s t
farbig	f a ʁ b ɪ ç
farbigen	f a ʁ b ɪ ɡ n̩
farblose	f a ʁ p l oː z ə
fasanen	f a z aː n n̩
fasse	f a s ə
fassen	f a s n̩
fassung	f a s ʊ ŋ
fatalen	f a tʰ aː l n̩
faul	f aw l
faust	f aw s t
farbiger	f a ʁ b ɪ ɡ ɐ
faßte	f a s t ə
faßte	f aː s t
faßte	f aː s t ə
faßte	f s t
faßte	f s t ə
faßte	f ɔ s t
faßte	f ɔ s t ə
faßte	f ɛ s t
faßte	f ɛ s t ə
faßte	f ɛ ɪ s t ə
erzählungen	ɛ ɐ ts eː l ʊ ŋ n̩
faßten	f a s t n̩
faßten	f aː s t n̩
faßten	f s t n̩
faßten	f ɔ s t n̩
faßten	f ɛ s t n̩
faßten	f ɛ ɪ s t n̩
farbloser	f a ʁ p l oː z ɐ
essigschlangen	ɛ s ɪ k ʃ l a ŋ n̩
euer	ɔʏ ɐ
federflocken	f eː d ɐ f l ɔ kʰ n̩
euern	ɔʏ ɐ n
fee	f eː
eurem	ɔʏ ʁ m̩
fehde	f eː d ə
eures	ɔʏ ʁ ə s
fatal	f a tʰ aː l
fataler	f a tʰ aː l ɐ
europatournee	ɔʏ ʁ oː pʰ a tʰ ʊ ʁ n eː
faulheit	f aw l h aj t
fechterkünste	f ɛ ç tʰ ɐ cʰ ʏ n s t ə
federposen	f eː d ɐ pʰ oː z n̩
fehler	f eː l ɐ
europäerinnen	ɔʏ ʁ ɔ pʰ eː ɐ ʁ ɪ n n̩
fehlen	f eː l n̩
fehlschuß	f eː l ʃ uː s
fehlschuß	f eː l ʃ ʊ s
fehlschuß	f eː l ʃ ʊ s t s ɛ t
fehlschuß	f eː l ʃ ʊ ɛ s
europäischer	ɔʏ ʁ ɔ pʰ eː ɪ ʃ ɐ
ewige	eː v ɪ ɡ ə
ewigen	eː v ɪ ɡ n̩
existenz	ɛ k s ɪ s t ɛ n ts
existierten	ɛ k s ɪ s t iː ɐ tʰ n̩
explodierten	ɛ k s p l ɔ d iː ɐ tʰ n̩
explodierten	ɛ k s p l ɔ d iː ʁ tʰ n̩
fabelhafte	f aː b ə l h a f tʰ ə
fehlt	f eː l t
fehlgeschossen	f eː l ɡ ə ʃ ɔ s n̩
fehlte	f eː l tʰ ə
feierliche	f aj ɐ l ɪ ç ə
fackeldistel	f a kʰ ə l d ɪ s t l̩
feier	f aj ɐ
feierlichern	f aj ɐ l ɪ ç ɐ n
fackelschein	f a kʰ ə l ʃ aj n
feierlich	f aj ɐ l ɪ ç
feierlichste	f aj ɐ l ɪ ç s t ə
feig	f aj k
feig	f aj ç
feige	f aj ɡ ə
fein	f aj n
feind	f aj n t
feinden	f aj n d n̩
feindlichen	f aj n t l ɪ ç n̩
feindseliger	f aj n t z eː l ɪ ɡ ɐ
feinen	f aj n n̩
feines	f aj n ə s
fahnenstangen	f aː n ə n ʃ t a ŋ n̩
feingezeichneten	f aj n ɡ ə ts aj ç n ə tʰ n̩
feierlichen	f aj ɐ l ɪ ç n̩
fahrwassers	f aː ɐ v a s ɐ s
felde	f ɛ l d ə
feierlichkeit	f aj ɐ l ɪ ç kʰ aj t
falkenauge	f a l kʰ n̩ aw ɡ ə
falkenauge	f a l kʰ ə n aw ɡ ə
felder	f ɛ l d ɐ
feiern	f aj ɐ n
feigen	f aj ɡ n̩
fallstricken	f a l ʃ t ʁ ɪ kʰ n̩
feldmaus	f ɛ l t m aw s
feindlich	f aj n t l ɪ ç
felsen	f ɛ l s n̩
felsen	f ɛ l z n̩
felsenküste	f ɛ l s n̩ cʰ ʏ s t ə
felsenküste	f ɛ l z ə ɲ cʰ ʏ s t ə
felsenufer	f ɛ l s ə n uː f ɐ
fenster	f ɛ n s t ɐ
fensterlose	f ɛ n s t ɐ l oː z ə
fensterrahmen	f ɛ n s t ɐ ʁ aː m n̩
ferner	f ɛ ʁ n ɐ
ferner	f ɛ ʁ n ə ʁ
fernes	f ɛ ʁ n ə s
fernglase	f ɛ ʁ n ɡ l aː z ə
fernrohre	f ɛ ʁ n ʁ oː ʁ ə
fernzuhalten	f ɛ ʁ n ts ʊ h a l tʰ n̩
fest	f ɛ s t
festen	f ɛ s t n̩
festgebunden	f ɛ s t ɡ ə b ʊ n d n̩
festhalten	f ɛ s t h a l tʰ n̩
festhielt	f ɛ s t h iː l t
festhielt	f ɛ s t iː l t
festkleid	f ɛ s t k l aj t
faltenreichen	f a l tʰ n̩ ʁ aj ç n̩
faltenreichen	f a l tʰ ə n ʁ aj ç n̩
festlichen	f ɛ s t l ɪ ç n̩
feindlicher	f aj n t l ɪ ç ɐ
festpackst	f ɛ s t pʰ a k s t
feindseliges	f aj n t z eː l ɪ ɡ ə s
familienfeste	f a m iː l ɪ ə n f ɛ s t ə
feststeht	f ɛ s t ʃ t eː t
feiner	f aj n ɐ
feiner	f aj n ə ʁ
familienschmäuse	f a m iː l ɪ ə n ʃ m ɔʏ z ə
festung	f ɛ s t ʊ ŋ
feingeflochtener	f aj n ɡ ə f l ɔ x tʰ ə n ɐ
festzustellen	f ɛ s ts uː ʃ t ɛ l n̩
feldarbeit	f ɛ l tʰ a ʁ b aj t
feuer	f ɔʏ ɐ
feldzuge	f ɛ l ts uː ɡ ə
fangball	f a ŋ b a l
feuerballe	f ɔʏ ɐ b a l ə
feuereimer	f ɔʏ ɐ aj m ɐ
feuerkrater	f ɔʏ ɐ k ʁ aː tʰ ɐ
feuerlilienstrauch	f ɔʏ ɐ l iː l ɪ ə n ʃ t ʁ aw x
fantastischen	f a n tʰ a s t ɪ ʃ n̩
farblosen	f a ʁ p l oː z n̩
faselhans	f aː z l̩ h a n s
faselhans	f aː z l̩ h aː n s
feuers	f ɔʏ ɐ s
feuerstein	f ɔʏ ɐ ʃ t aj n
felsenmassen	f ɛ l s n̩ m aː s n̩
feurig	f ɔʏ ʁ ɪ k
feurig	f ɔʏ ʁ ɪ ç
feurigen	f ɔʏ ʁ ɪ ɡ n̩
felsstück	f ɛ l s ʃ t ʏ k
fast	f a s t
fast	f aː s t
feurigglühenden	f ɔʏ ʁ ɪ ç ɡ l yː ə n d n̩
feurigglühenden	f ɔʏ ʁ ɪ ɡ l yː ə n d n̩
fiel	f iː l
fatale	f a tʰ a l ə
fatale	f a tʰ aː l ə
fenstern	f ɛ n s t ɐ n
fatalit	f a tʰ a l ɪ t
figur	f ɪ ɡ uː ɐ
faßt	f a s t
faßt	f aː s t
faßt	f s t
faßt	f ɔ s t
faßt	f ɛ s t
faßt	f ɛ ɪ s t
finanzen	f ɪ n a n ts n̩
fern	f ɛ ʁ n
finde	f ɪ n d ə
feder	f eː d ɐ
feder	f eː d ə ʁ
ferne	f ɛ ʁ n ə
fernen	f ɛ ʁ n n̩
finden	f ɪ n d n̩
federleichte	f eː d ɐ l aj ç tʰ ə
findest	f ɪ n d ə s t
fehle	f eː l ə
ferneres	f ɛ ʁ n ə ʁ ə s
findet	f ɪ n d ə t
ferngläser	f ɛ ʁ n ɡ l eː z ɐ
finger	f ɪ ŋ ɐ
fingerchen	f ɪ ŋ ɐ ç n̩
fernrohren	f ɛ ʁ n ʁ oː ɐ n
fernrohren	f ɛ ʁ n ʁ oː ʁ n̩
fingerhutgroßen	f ɪ ŋ ɐ h uː t ɡ ʁ oː s n̩
fertig	f ɛ ʁ tʰ ɪ k
fertig	f ɛ ʁ tʰ ɪ ç
fehlgriff	f eː l ɡ ʁ ɪ f
feierlicher	f aj ɐ l ɪ ç ɐ
feierlichst	f aj ɐ l ɪ ç s t
fingerspitze	f ɪ ŋ ɐ ʃ p ɪ ts ə
finster	f ɪ n s t ɐ
finsteres	f ɪ n s t ɐ s
finsteres	f ɪ n s t ə ʁ ə s
finsternis	f ɪ n s t ɐ n ɪ s
finstrer	f ɪ n s t ʁ ɐ
fisch	f ɪ ʃ
fische	f ɪ ʃ ə
fischenden	f ɪ ʃ ə n d n̩
fischerboote	f ɪ ʃ ɛ ɐ b oː tʰ ə
feierlichsten	f aj ɐ l ɪ ç s t n̩
feinde	f aj n d ə
fertigen	f ɛ ʁ tʰ ɪ ɡ n̩
fischerleute	f ɪ ʃ ɐ l ɔʏ tʰ ə
fischerleute	f ɪ ʃ ɛ ɐ l ɔʏ tʰ ə
feindliche	f aj n t l ɪ ç ə
fischernetz	f ɪ ʃ ɐ n ɛ ts
feindseligen	f aj n t z eː l ɪ ɡ n̩
fischers	f ɪ ʃ ɐ s
fischers	f ɪ ʃ ɛ ʁ s
feine	f aj n ə
festes	f ɛ s t ə s
fischersleuten	f ɪ ʃ ɛ ʁ s l ɔʏ tʰ n̩
feinem	f aj n m̩
festgezaubert	f ɛ s t ɡ ə ts aw b ɐ t
fischfesttage	f ɪ ʃ f ɛ s t aː ɡ ə
fischkönig	f ɪ ʃ c øː n ɪ ç
festigkeit	f ɛ s t ɪ ç kʰ aj t
feinste	f aj n s t ə
festlichter	f ɛ s t l ɪ ç tʰ ɐ
fischnetz	f ɪ ʃ n ɛ ts
feinstem	f aj n s t m̩
feststehe	f ɛ s t ʃ t eː ə
festtag	f ɛ s t aː k
festtagspredigt	f ɛ s t aː k s p ʁ eː d ɪ ç t
feinsten	f aj n s t n̩
feiste	f aj s t ə
feld	f ɛ l t
fischzug	f ɪ ʃ ts ʊ x
feldbett	f ɛ l t b ɛ t
fixe	f ɪ k s ə
feuereiland	f ɔʏ ɐ aj l a n t
feldherr	f ɛ l t h ɛ ʁ
fixen	f ɪ k s n̩
feuerflackerns	f ɔʏ ɐ f l a cʰ ɛ ʁ n s
feuerflackerns	f ɔʏ ɐ f l a kʰ ɐ n s
felleisen	f ɛ l aj z n̩
flache	f l a x ə
feuerland	f ɔʏ ɐ l a n t
felsenschlucht	f ɛ l s n̩ ʃ l ʊ x t
flackernden	f l a kʰ ɐ n d n̩
feuermeer	f ɔʏ ɐ m eː ɐ
flackte	f l a k tʰ ə
feuerrot	f ɔʏ ɐ ʁ oː t
fensterladen	f ɛ n s t ɐ l aː d n̩
flamme	f l a m ə
feuerrotem	f ɔʏ ɐ ʁ oː tʰ m̩
fensterscheiben	f ɛ n s t ɐ ʃ aj b n̩
flammenaugen	f l a m n̩ aw ɡ n̩
fernere	f ɛ ʁ n ə ʁ ə
flattern	f l a tʰ ɐ n
feuerschimmer	f ɔʏ ɐ ʃ ɪ m ɐ
fernglas	f ɛ ʁ n ɡ l aː s
flatternde	f l a tʰ ɐ n d ə
feurige	f ɔʏ ʁ ɪ ɡ ə
feuriger	f ɔʏ ʁ ɪ ɡ ɐ
